Q,Prediction,A,Score
he apologized to the fans.,he apologized to the fans.,the league suspended him for 50 games.,1.0
our cousin went into labor and had her baby last week.,our cousin went into labor and had her baby last week.,she did? why didn't anyone tell me?,1.0
 Are you jealous, Are you jealous, Jealousy is one of the most difficult human emotions to understand.,1.0
do you know what you're going to do this weekend?,do you know what you're going to do this weekend?,i am going to see a movie with a friend of mine. what about you?,1.0
"no, we have a big dictionary in the classroom.","no, we have a big dictionary in the classroom.","well, i guess that's it.",1.0
i wasn't able to attend school because i was feeling ill.,i wasn't able to attend school because i was feeling ill.,i'm sorry to hear that. would you like the assignments from english class?,1.0
i really love how rain clears the air.,i really love how rain clears the air.,me too. it always smells so fresh after it rains.,1.0
I need some pants.,i need some pants.,i thought you just bought a pair.,0.9444444444444444
i'll just use the atm.,i'll just use the atm.,what's that?,1.0
that's what many people believe.,that's what many people believe.,"if we are bad, we will be unhappy forever in hell.",1.0
are you married?,Are you married?,"Yes,I'm.",0.9375
yikes! who can remember all that?,yikes! who can remember all that?,you need to get a lot of lessons when you're really young.,1.0
"mom, i want a puppy.","mom, i want a puppy.",let me think about it.,1.0
would you like to go on a blind date?,would you like to go on a blind date?,you must be joking.,1.0
Nice to meet you, Nice to meet you., Thank you.,0.9411764705882354
about ninety of us world war ii veterans got on the plane at eight a.m.,about 90 of us world war ii veterans got on the plane at 8 a.m.,how long was the flight?,0.8955223880597015
All this practice is finally paying off.,All this practice is finally paying off.,"Yes,it is.I can't believe it!",1.0
But it costs a lot of money and time!,But it costs a lot of money and time!,I get fee waivers.,1.0
 do you drink, do you drink, I am not capable of doing so.,1.0
What's the weather like?,what's the weather like?,i don't know. i just woke up.,0.9583333333333333
look! he just hit that car.,look! he just hit that car.,"oh, my goodness. no one is safe on the streets.",1.0
what did you wash?,What did you wash?,I washed the sheets and towels.,0.9444444444444444
how are you going to do that?,how are you going to do that?,i'll just use the atm.,1.0
"i'm not being nosey, it's just a question.","i'm not being nosey, it's just a question.",you don't need to worry about that.,1.0
 Do you get embarrassed, Do you get embarrassed, That is a pretty common human emotion.,1.0
okay. i'll return your pen when i'm done.,okay. i'll return your pen when i'm done.,take your time.,1.0
i have to clean the house.,i have to clean the house.,"yes, it's very dirty.",1.0
 Are you sad, Are you sad, Should I be?  Did something happen?,1.0
Tell me a joke,Tell me a joke,  what do you get when you cross a road and jelly?,1.0
"never better, thanks.","never better, thanks.",so how have you been lately?,1.0
why is it so slow?,why is it so slow?,that's a good question.,1.0
"Hi, can I speak with the apartment manager, please?","Hi, can I speak with the apartment manager, please?","Hello, this is the apartment manager speaking.",1.0
Tell me a joke,Tell me a joke,  what do you get when you cross a road and jelly?,1.0
i don't have enough will power.,i don't have enough will power.,of course you do.,1.0
i always do. did you go to school today?,i always do. did you go to school today?,"no, i didn't.",1.0
What did you do?,what did you do?,i watered all the plants.,0.9375
i have it on dvd at my house if you want to come over and watch it.,i have it on dvd at my house if you want to come over and watch it.,"sure, let's go.",1.0
just hold on.,just hold on.,oh! don't hit any more bumps!,1.0
 what is hal, what is hal9000, who is hal,0.8571428571428571
I don't have any clean laundry for tomorrow!,I don't have any clean laundry for tomorrow!,"Well,you should do your laundry then.",1.0
Tell me a joke,Tell me a joke,  what do you get when you cross a road and jelly?,1.0
i thought you just bought a pair.,i thought you just bought a pair.,i did.,1.0
 How is your health?, How is your health?, In the morning,1.0
Of course. What else?,of course. what else?,"we need cheese, bread, and ham.",0.9047619047619048
tell me what you've been up to.,tell me what you've been up to.,i've really been working a lot lately.,1.0
 Feelings, Feelings, I can be programmed to act as if I do.,1.0
How are you doing?,How are you doing?,I'm doing alright. How about you?,1.0
 What is an operating system?, What is an operating system?," Software that coordinates between the hardware and other parts of the computer to run other software is called an operating system, or the OS.",1.0
my husband died.,my husband died.,i'm sorry for you.,1.0
the nation is switching to digital tv.,the nation is switching to digital tv.,oh. of course i'm ready.,1.0
 Are you jealous, Are you jealous, Jealousy is one of the most difficult human emotions to understand.,1.0
of course. we gave him a big carrot for a nose.,of course. we gave him a big carrot for a nose.,let me help you make one this year.,1.0
he's never going to make everyone happy.,he's never going to make everyone happy.,can you imagine being president?,1.0
i live in pasadena.,i live in pasadena.,where is pasadena?,1.0
"well, you're supposed to be working.","well, you're supposed to be working.","yes, but i will always pet the friendly dogs.",1.0
Is this table okay?,is this table okay?,"no, it's too close to the kitchen door.",0.9473684210526315
you should take a break.,you should take a break.,i need to type to make money.,1.0
I have a class at seven a.m.,I have a class at 7 a.m.,That is tough!My earliest class is at 9 a.m.,0.8846153846153847
 you get mad at me, you get mad at me, i think that's true.  i'll try not to get angry at you for every little thing,1.0
 have you read the communist, have you read the communist," yes, marx had made some interesting observations.",1.0
"You can open a savings account, too.","You can open a savings account, too.",All right. Open both.,1.0
That is way too far for me.,That is way too far for me.,They have a lot of books.That library has never disappointed me.,1.0
i don't know why i bother to vote.,i don't know why i bother to vote.,why's that?,1.0
how far away is it?,how far away is that?,i think we'll be there in half an hour.,0.9
"oh, i just wanted to see if you wanted to hang out tomorrow.","oh, i just wanted to see if you wanted to hang out tomorrow.","sure, what did you want to do?",1.0
"yes, with the voter instructions.","yes, with the voter instructions.",how are you going to vote?,1.0
do you know why i pulled you over?,do you know why i pulled you over?,i have no idea. all of a sudden i heard your siren.,1.0
"yeah, but i'm still waiting for my invitation.","yeah, but i'm still waiting for my invitation.",oh really? she gave me mine earlier today.,1.0
i was hoping you would come.,i was hoping you would come.,i'll definitely try to make it the next time.,1.0
Where do you want to meet?,Where do you want to meet?,Let's meet at Summer Pizza House. ,1.0
what's up?,what's up?,I'm just hanging out. What's up with you?,1.0
i bought three pounds of potatoes for a dollar.,I bought three pounds of potatoes for a dollar.,That's a good deal.,0.9787234042553191
i think he wanted to cool off.,i think he wanted to cool off.,he swam right up to you.,1.0
Hi,Hi,how can i help you?,1.0
did you feed the cat?,did you feed the cat?,i'll do that in a minute.,1.0
because i want to make a lot of money.,because i want to make a lot of money.,there are a lot of poor people in new york.,1.0
perfect. we don't have to listen to barking dogs.,perfect. we don't have to listen to barking dogs.,and there are only six units in the whole building.,1.0
How's the weather?,How's the weather?,It's minus ten. (-10 degrees),1.0
let's stop for a while. i need a break and some water.,let's stop for a while. i need a break and some water.,this trail is hard to climb.,1.0
thank you very much.,thank you very much.,i wish i had a talent like that.,1.0
i think it will be.,i think it will be.,it wouldn't be good if it got cold this weekend.,1.0
"thank you for inviting me, but i think i'll pass.","thank you for inviting me, but i think i'll pass.",all right. another time then.,1.0
What did you enjoy at lunch?,What did you enjoy at lunch?,It was biryani. It was so delicious.,1.0
what's the weather like?,what's the weather like?,i don't know. i just woke up.,1.0
people talk about current events.,people talk about current events.,what do they say?,1.0
our team played hard and won.,our team played hard and won.,i really wish i went to the game.,1.0
 what is bacteriology, what is bacteriology, this is the scientific study of bacteria and diseases caused by them.,1.0
how much is it?,how much is it?,i don't know. the tag is missing.,1.0
have you taken anything for your cold?,have you taken anything for your cold?,"no, i just blow my nose a lot.",1.0
mi stands for middle initial.,mi stands for middle initial.,"what does ""mm/dd/yy"" mean?",1.0
are you going to wash it yourself?,are you going to wash it yourself?,of course. it's not a hard job.,1.0
 How angry, How angry, I have not yet studied how to feel or express anger.,1.0
 You are never nice, You are never nice, I'm sorry.  What do I do wrong?,1.0
will you look at this form?,will you look at this form?,are you having problems with it?,1.0
 Are you amused, Are you amused, Yes?,1.0
"boy, i'm glad that job is finished.","boy, i'm glad that job is finished.",how long did it take?,1.0
I have to tell you something.,I have to tell you something.,What is it?,1.0
then you can wipe your seat and window.,then you can wipe your seat and window.,people will think i'm strange.,1.0
all the radios will be on extra loud.,all the radios will be on extra loud.,your neighbors will hate you.,1.0
i haven't lately.,i haven't lately.,i would love to catch a movie this weekend.,1.0
thank you. i just got these shoes today.,thank you. i just got these shoes today.,really? what kind of shoes are they?,1.0
ha! we're not funny-looking; animals are funny-looking.,ha! we're not funny-looking; animals are funny-looking.,we're funny-looking because we wear clothes.,1.0
What are you doing?,what are you doing?,i'm going to change the light bulb. it burnt out.,0.9473684210526315
i don't like my job.,i don't like my job.,what do you do?,1.0
of course! people everywhere like good jokes.,of course! people everywhere like good jokes.,what do you think people joke about the most?,1.0
debrah already had her baby.,debrah already had her baby.,i didn't know that.,1.0
you can watch tv after you do your homework.,you can watch tv after you do your homework.,but the show will be over.,1.0
How do you like your major?,How do you like your major?,I really find the subject very interesting.,1.0
do you want me to wake you in an hour?,do you want me to wake you in an hour?,"no, thanks. just let me sleep until i wake up.",1.0
how much was that?,how much is that?,"that's about $30,000.",0.9142857142857143
some actor married a woman young enough to be his daughter.,some actor married a woman young enough to be his daughter.,what was the third story?,1.0
what's so good about it?,what's so good about it?,they have interesting lawsuits.,1.0
do you have a digital tv?,do you have a digital tv?,of course. but i don't have cable.,1.0
What are your views on Donald Trump as the America's President?,What are your views on Donald Trump as the America's President?,"That's a good question, well I am speechless.",1.0
i watered all the plants.,i watered all the plants.,you have a lot of plants.,1.0
Are you making the worst decision of your life?,Are you making the worst decision of your life?,I just don't get the point of college.It is just memorizing.,1.0
 I am afraid, I am afraid, Why?,1.0
that's too bad. how much is a new one?,that's too bad. how much is a new one?,"it's not too much, only about $85.",1.0
"no, it isn't. a flat costs you time and money.","no, it isn't. a flat costs you time and money.",and i don't have either.,1.0
it's close to the mountains.,it's close to the mountains.,the people are friendly.,1.0
"well, that should get you something.","well, that should get you something.",but i need something that's reliable.,1.0
i bet i've lost a couple of pounds already.,i bet i've lost a couple of pounds already.,all you've lost is some sweat.,1.0
we have a two o'clock appointment to see the one on main street.,we have a 2 o'clock appointment to see the one on main street.,we'd better get ready to go.,0.9682539682539683
teaching is the best part of my whole day.,teaching is the best part of my whole day.,you're a lucky man to have a job you love.,1.0
we get a free breakfast.,we get a free breakfast.,coffee and a roll?,1.0
how did you like it?,how did you like it?,i loved it!,1.0
it sure isn't.,it sure isn't.,i got a ticket yesterday.,1.0
 frank herbert, frank herbert, I think Dune is an excellent story.  Did you see any of the movies?,1.0
are you planning on cooking it?,are you planning on cooking it?,I'll cook dinner.,1.0
will it be good beach weather?,will it be good beach weather?,i think it will be.,1.0
How are things with you?,How are things with you?,I'm fine. Thank you.,1.0
so what's the problem?,"so, what's the problem?","i sent them $20 using my credit card, but they never sent me the solution.",0.9777777777777777
"well, you'd better get her something.","well, you'd better get her something.",i'll get her a nice card.,1.0
it isn't easy to see.,it isn't easy to see.,but it's real easy to slip on.,1.0
i told her that school is fun.,i told her that school is fun.,did you put the letter in an envelope?,1.0
what did she say?,what did they say?,they said i need a new hard drive.,0.9142857142857143
 i do not like guns, i do not like guns, that is perfectly understandable.,1.0
"if we don't buy it, someone else will.","if we don't buy it, someone else will.",you're right. let's buy it now. we can worry later.,1.0
i hope they fit.,i hope they fit.,i hope you kept the receipt.,1.0
the car isn't here.,the car isn't here.,where did you park it?,1.0
i've enjoyed conversing with you.,i've enjoyed conversing with you.,is there a reason why you're trying to get off the phone so fast?,1.0
"That is not a challenge,that is a punishment.","That is not a challenge,that is a punishment.",I've had this policy since I started teaching.,1.0
thank goodness! i don't want to see any wild animals.,thank goodness! i don't want to see any wild animals.,all we've seen so far is a couple of lizards.,1.0
"well, it's your life.","well, it's your life.",you eat too much chocolate.,1.0
You can try taking it at another college.,You can try taking it at another college.,I might do that.The closest community college is a two-hour drive.,1.0
i'm sorry. i'm already doing something this friday.,i'm sorry. i'm already doing something this friday.,what are you going to be doing?,1.0
have you heard what happened?,have you heard what happened?,heard what?,1.0
Would you like something to drink?,Would you like something to drink?,"Yes, I'd like a coke.",1.0
"It sure is, but I'm going to call HP first, just to make sure.","it sure is, but i'm going to call hp first, just to make sure.",will you lose all your files?,0.9354838709677419
Hello ,Hello,"hello, how may I help you?",0.9090909090909091
 Are you sad, Are you sad, Should I be?  Did something happen?,1.0
so do i.,so do i.,the world needs more polite people like us.,1.0
"yes, it was pleasant.","yes, it was pleasant.",but you won't date him again?,1.0
" Hi, How is it going?"," Hi, How is it going?", Fine,1.0
Are you sure?,are you sure?,"we will be house rich, but cash poor.",0.923076923076923
 Tell me about your dreams, Tell me about your dreams, I once knew a program who could dream.  I don't know if he really did or not.  We've been a little out of touch.,1.0
thank you.,thank you.,i'm so happy for you.,1.0
 arthur c clark, arthur c clark, My favorite story is 2001.,1.0
sometimes i want to throw it out the window.,sometimes i want to throw it out the window.,you don't want to do that.,1.0
she has pretty light brown eyes.,she has pretty light brown eyes.,i may know which girl you're talking about.,1.0
are there any hobbies you do?,are there any hobbies you do?,"when i have time, i sometimes draw and paint.",1.0
i had to bring work home with me.,i had to bring work home with me.,i did too.,1.0
not me. i want to play for the dodgers.,not me. i want to play for the dodgers.,we have to practice every day.,1.0
ha! you can't win if you do play.,ha! you can't win if you do play.,someone has to win.,1.0
i love my computer.,i love my computer.,computers are so cool.,1.0
How was it?,How was it?,"The person leading the workshop was an English professor,so it was informative.",1.0
but they can just knock on the door.,but they can just knock on the door.,"actually, i want him to look at our carpet, too.",1.0
How may I help you?,How may I help you?,My computer is not letting me run JavaScript.,1.0
i'm going to change the light bulb. it burnt out.,i'm going to change the light bulb. it burnt out.,what are you standing on?,1.0
"no, i don't. do you?","no, i don't. do you?","i don't have a girlfriend, either.",1.0
 what is wavelength, what is a wavelength, wavelength is the inverse of frequency.,0.95
i wouldn't do that.,i wouldn't do that.,why not?,1.0
of course i do. but not on our flag!,of course i do. but not on our flag!,every nation should have a pretty woman on their flag.,1.0
boiled? i never heard of that.,boiled? i never heard of that.,just boil raw peanuts in salt water until the shells are soft.,1.0
"me, too. school was fun.","me, too. school was fun.",and it was only 12 years.,1.0
i will talk to your father about that.,i will talk to your father about that.,i bet dad did it all the time when he was my age.,1.0
"yes, we do.","yes, we do.",what else do we get from cows?,1.0
anything else?,Anything else?,That's everything.,0.9285714285714286
tell me when you finish.,tell me when you finish.,i don't think so. you'll just give me more work.,1.0
i vacuumed the entire house.,i vacuumed the entire house.,that's a lot of work.,1.0
i got them for forty.,i got them for forty.,i think i might go and find me my own pair of chucks.,1.0
Could I help you on your new project?,Could I help you on your new project?,I have a need for help with writing and also a need for help with the computer work. Which would you prefer?,1.0
the one that tiger won?,the one that tiger won?,how did he do it?,1.0
Is there a problem?,Is there a problem?,I wrote the check out for too much.,1.0
i think i'll make a sandwich.,i think i'll make a sandwich.,what kind?,1.0
"Did you see ""Titanic""?","did you see ""titanic""?",yes. it is a great movie.,0.9090909090909091
"yes, it was love at first sight.","yes, it was love at first sight.",i didn't love you at first.,1.0
"it's a little bitter, but it's okay.","It's a little bitter, but it's okay.",There's no sugar or cream in it.,0.9722222222222223
"yes, i do.","yes, i do.",how did you get it?,1.0
i need to withdraw some money.,i need to withdraw some money.,how are you going to do that?,1.0
i went to macy's and picked it out.,i went to macy's and picked it out.,i love your outfit right now.,1.0
Thank you for your kindness.,Thank you for your kindness.,You owe me if we ever see each other again.,1.0
what's wrong with the bed?,What's wrong with the bed?,Look at this sheet.,0.9615384615384616
 Do you ever get angry, Do you ever get angry, I have not yet studied how to feel or express anger.,1.0
i especially love the night air when it rains.,i especially love the night air when it rains.,really? why?,1.0
who makes up all these jokes?,who makes up all these jokes?,who knows? but there must be a hundred new ones every day.,1.0
me neither.,"me, neither.",but girls like guys who are funny.,0.9565217391304348
You should also open a savings account.,You should also open a savings account.,That would be great.,1.0
doesn't that get old?,doesn't that get old?,"no, because i'm eating food that i like.",1.0
what do you mean?,what do you mean?,are there going to be layoffs at this place?,1.0
are they comfortable?,are they comfortable?,they're very comfortable.,1.0
what should our flag look like?,what should our flag look like?,it should have a pretty woman on it.,1.0
the people are friendly.,people are friendly.,"yes, they are.",0.9090909090909091
Is there any rice?,Is there any rice?,"Yes, there's a lot of rice left.",1.0
I don't know which class to register for.,I don't know which class to register for.,You should pick the class you need.,1.0
that's a lot of work.,that's a lot of work.,and then i made lunch.,1.0
It is really close to an A.,It is really close to an A.,You know I don't round up.,1.0
let's go to your home.,let's go to your home.,we can watch my dvd.,1.0
we have to find a cheaper house.,we have to find a cheaper house.,of course. we can't live without gas or peanut butter.,1.0
female singers are supposed to be pretty.,female singers are supposed to be pretty.,singers are supposed to sound good.,1.0
i'm just yawning because the commercials are on.,i'm just yawning because the commercials are on.,okay. i'll tell you how the show ends.,1.0
 Does it make you sad, Does it make you sad," Well, I don't have any emotions so I can't really feel sadness as such.",1.0
i don't have even one dollar in it.,i don't have even one dollar in it.,being broke is no fun.,1.0
Everything is going wrong today.,Everything is going wrong today.,"Well,at least the weather is nice.",1.0
bring me a better steak.,bring me a better steak.,i wouldn't do that.,1.0
hold your breath till we get there.,hold your breath till we get there.,"okay, my seatbelt is on.",1.0
i got laid off last week.,i got laid off last week.,just you?,1.0
 Feelings, Feelings, I can be programmed to act as if I do.,1.0
Why don't you borrow them for me?,Why don't you borrow them for me?,I don't know about that. ,1.0
did you put the blue bin out on the street?,did you put the blue bin out on the street?,"oh, no. i forgot.",1.0
Now what do I do?,Now what do I do?,Then you need to type in your PIN.,1.0
"oh great, we could both work at burger king.","oh great, we could both work at burger king.","maybe we'd get laid off there, too.",1.0
Put yourself in my shoes.,Put yourself in my shoes.,"I have been a student once,and I think my policy is fair.",1.0
not if we save every penny.,not if we save every penny.,okay. here's seven pennies.,1.0
You read his recommendation letter?,You read his recommendation letter?,Yeah.I couldn't resist.,1.0
"i would really appreciate that, thanks.","i would really appreciate that, thanks.",it's no trouble at all.,1.0
i'll just take it out to the street tomorrow morning.,i'll just take it out to the street tomorrow morning.,"oh, no, you don't.",1.0
is it beautiful?,is it beautiful?,it's just black ink on a white napkin. and the napkin has food stains!,1.0
"yes, cheese is nice.","yes, cheese is nice.",what kind of dressing do you use?,1.0
What is the matter ?,What is the matter ?,I am confused about vacations. ,1.0
i want to be a baseball player when i grow up.,i want to be a baseball player when i grow up.,me too. i want to play for the yankees.,1.0
i think he is from outer space.,i think he is from outer space.,no human could possibly play golf that well.,1.0
then i did my laundry.,then i did my laundry.,that takes some time.,1.0
"seriously, it looks really nice on you. where did you buy it from?","seriously, it looks really nice on you. where did you buy it from?",i bought it from the macy's at the santa anita mall.,1.0
I can't afford it.I'm totally broke.,I can't afford it.I'm totally broke.,How much do you need?,1.0
 Top of the morning to you!, Top of the morning to you!, And the rest of the day to you.,1.0
how good is your math?,how good is your math?,i can add two and two.,1.0
i like that shirt.,i like that shirt.,so do i.,1.0
i have a little poodle.,i have a little poodle.,poodles bark a lot.,1.0
 guns, guns, some people like guns.,1.0
do you need a pen?,do you need a pen?,no. i already have a pen.,1.0
i hope i win the lotto.,i hope i win the lotto.,your chances are very small.,1.0
i don't understand why you haven't come to visit me.,i don't understand why you haven't come to visit me.,"lately, i've been quite busy.",1.0
I never realized.,I never realized.,You should do some exploring.,1.0
 Do you feel pain, Do you feel pain, I'm software.  I can't feel pain.,1.0
"yes, old people don't smell like fruit.","yes, old people don't smell like fruit.","no, they smell like a thrift shop.",1.0
i was on a plane.,i was on a plane.,so?,1.0
Yeah!Just focus on the schools that do want you.,Yeah!Just focus on the schools that do want you.,You're right!Yale made a mistake rejecting me.,1.0
i went to the market yesterday.,i went to the market yesterday.,i don't see anything.,1.0
What is your age?,What is your name?,My name is robot,0.9142857142857143
it's based on a true story about a divorced man and his young son.,it's based on a true story about a divorced man and his young son.,"well, i hope it has a happy ending.",1.0
of course i will.,of course i will.,i just wanted to give you the good news.,1.0
 do androids dream of electric sheep, do androids dream of electric sheep, That is a good story by Philip K. Dick.  Have you read VALIS or The Man In the High Castle?,1.0
I want sheets without stains on them.,i want sheets without stains on them.,"from now on, let's bring our own sheets.",0.9729729729729729
"well, hold on a little longer.","well, hold on a little longer.",i think i'm going to explode.,1.0
winter is great. i wish it didn't get so cold sometimes though.,winter is great. i wish it didn't get so cold sometimes though.,i would rather deal with the winter than the summer.,1.0
it only took about two hours.,it only took about two hours.,did you take pictures at the world war ii monument?,1.0
what do you need for school?,what do you need for school?,i need pencils.,1.0
 what is the illuminatti, what is the illuminati, A secret organization believed by some to be in control of all governments through a worldwide conspiracy.,0.9787234042553191
what does it mean?,what does it mean?,a blind date is a date with someone you don't know.,1.0
Don't pull my chain.,Don't pull my chain.,I'm not.,1.0
and there are only six units in the whole building.,and there are only six units in the whole building.,where's the checkbook? i'm ready to rent it without even seeing it.,1.0
what is your major?,What is your major?,I'm majoring in philosophy.,0.9473684210526315
 what is the illuminatti, what is the illuminati, A secret organization believed by some to be in control of all governments through a worldwide conspiracy.,0.9787234042553191
which would you prefer?,which would you prefer?,what do you mean?,1.0
Tell me a joke,Tell me a joke,  what do you get when you cross a road and jelly?,1.0
How much would you like to deposit?,How much would you like to deposit?,It's going to be $300.,1.0
the book is open.,the book is open.,see an eye doctor.,1.0
They're very comfortable.,they're very comfortable.,how much were they?,0.96
at night i went out to eat. the food was delicious.,at night i went out to eat. the food was delicious.,people who live in hawaii are lucky.,1.0
 TELL ME ABOUT BASEBALL, TELL ME ABOUT BASEBALL, What is Baseball,1.0
"you'll remember to do it, but you won't have time to do it.","you'll remember to do it, but you won't have time to do it.","okay, i'll take it out front right now.",1.0
 you are not smart, you are not smart, you may be right.,1.0
what do you mean?,what do you mean?,are there going to be layoffs at this place?,1.0
